symbol,sector,traditional_beta,positive_beta,negative_beta,beta_ratio,data_points,positive_days,negative_days
AAPL,Information Technology,1.7653444878916815,1.688462784559766,1.7126018273508559,0.9859050466923596,2707,1483,1218
NVDA,Information Technology,1.192925803233405,1.2255028977653972,1.1434081883246616,1.0717982521718878,2707,1483,1218
MSFT,Information Technology,1.192925803233405,1.2255028977653972,1.1434081883246616,1.0717982521718878,2707,1483,1218
GOOGL,Communication Services,1.1786509639635891,1.0628734270187328,1.1356871179710752,0.935885782448228,2707,1483,1218
AMZN,Consumer Discretionary,1.1786509639635891,1.0628734270187328,1.1356871179710752,0.935885782448228,2707,1483,1218
TSLA,Consumer Discretionary,1.1449888345547778,1.1044168829312844,1.120313887653802,0.9858102225655619,2707,1483,1218
META,Communication Services,1.1449888345547778,1.1044168829312844,1.120313887653802,0.9858102225655619,2707,1483,1218
JPM,Financials,1.58196345089227,1.3058832746686966,1.6570321586970527,0.7880856553173541,2707,1483,1218
JNJ,Health Care,1.58196345089227,1.3058832746686966,1.6570321586970527,0.7880856553173541,2707,1483,1218
WMT,Consumer Staples,1.2963754052015821,1.274576729822674,1.2576008126000227,1.013498653191512,2707,1483,1218
