Symbol,Beta_10Y,R_Squared,Correlation,Standard_Error,Positive_Beta,Negative_Beta,Months,Positive_Months,Negative_Months,Start_Date,End_Date
NVDA,1.757337335343973,0.33286029039442455,0.5769404565415954,0.23000623390094393,1.2718124455217124,2.3617641919656873,119,80,39,2015-02-28,2024-12-31
AAPL,1.2337649381286775,0.46779572218056803,0.6839559358471627,0.12166076716119643,1.364278121007314,1.3041503719469787,119,80,39,2015-02-28,2024-12-31
MSFT,0.9735161523393044,0.48598030076843357,0.6971228735082744,0.0925615843274442,0.8582449658438795,0.8792227159332573,119,80,39,2015-02-28,2024-12-31
GOOGL,0.9992581495694252,0.40917499857239853,0.639667881460683,0.1110093745037908,0.7824987243069671,1.3038732541842513,119,80,39,2015-02-28,2024-12-31
AMZN,1.2759440228103502,0.40747826537116116,0.638340242638016,0.14224552396370427,1.1880014018700655,1.42007931947216,119,80,39,2015-02-28,2024-12-31
META,1.1502461493339158,0.272376366797435,0.521896892879652,0.17380671211820323,0.9877999669217224,1.2171005264362036,119,80,39,2015-02-28,2024-12-31
TSLA,1.8123076744274704,0.19828279702804838,0.4452895653707241,0.3369047093356089,2.6402281896699753,1.8133195492737249,119,80,39,2015-02-28,2024-12-31
JPM,1.136151655062229,0.5135271356567068,0.7166080767453762,0.10223297192251186,0.9160982395228353,1.3595070637913984,119,80,39,2015-02-28,2024-12-31
BAC,1.4096251581860861,0.5405005956389687,0.735187456121885,0.1201586662997599,1.3492780500361925,1.43037716085109,119,80,39,2015-02-28,2024-12-31
WFC,1.1636629733836423,0.3779618442571655,0.6147860150143019,0.13801262545067797,1.1445997455846,1.2565792821410346,119,80,39,2015-02-28,2024-12-31
GS,1.3743027050771721,0.5409304796768528,0.7354797615684969,0.11704637647364897,1.5797563652383355,1.3106954222044875,119,80,39,2015-02-28,2024-12-31
MS,1.3604202838668338,0.5140037609771996,0.7169405560973653,0.1222963438371205,1.3227859083752012,1.4197721804242993,119,80,39,2015-02-28,2024-12-31
JNJ,0.5668364311146773,0.3052261822604929,0.552472788705917,0.07906343043510627,0.4742645435442368,0.26644011712590426,119,80,39,2015-02-28,2024-12-31
PFE,0.6469677627759903,0.18519962322948053,0.430348258076503,0.1254571078005303,0.4930850444502192,0.37722328220379164,119,80,39,2015-02-28,2024-12-31
UNH,0.6330652061403279,0.22222163101253772,0.4714038937180491,0.10949398927176461,0.6584385423117641,0.11898346493900444,119,80,39,2015-02-28,2024-12-31
ABBV,0.6928820653350267,0.17128636727772958,0.41386757215047604,0.14089877961510816,0.23586110166626223,0.3312179674990511,119,80,39,2015-02-28,2024-12-31
MRK,0.44037396746809115,0.12044322484202304,0.3470493118304991,0.1100194472350726,0.44161220781994187,-0.3489045331878504,119,80,39,2015-02-28,2024-12-31
KO,0.5516005372674334,0.2889191966633638,0.537512043272859,0.0800024021889627,0.48704238753216067,0.47667695913127317,119,80,39,2015-02-28,2024-12-31
PG,0.4268574012782555,0.16640467407604045,0.4079272901829939,0.08832522657198644,0.47842422046044975,0.2517810030858868,119,80,39,2015-02-28,2024-12-31
WMT,0.49308349053434297,0.16446432048050988,0.4055420082809053,0.10274819076629214,0.7157039876666954,0.037738924549001435,119,80,39,2015-02-28,2024-12-31
HD,1.0383606828036112,0.5208366048173677,0.7216901030340986,0.09207598460346238,1.0423110098467379,0.8190252587671568,119,80,39,2015-02-28,2024-12-31
MCD,0.6460697428296708,0.3342470278466126,0.5781410103483514,0.08429644338585346,0.7298101392574919,0.6596091073925292,119,80,39,2015-02-28,2024-12-31
XOM,0.939683083606945,0.2802979714766518,0.5294317439261191,0.1392050093374947,1.0873325711874633,1.025322664359971,119,80,39,2015-02-28,2024-12-31
CVX,1.0849146848908775,0.3712952857725309,0.609340041169568,0.13051676404612705,1.3810325382673145,0.9838178467574231,119,80,39,2015-02-28,2024-12-31
COP,1.1682649756940855,0.2366402845647969,0.48645686814433703,0.19398524835480674,1.400682574632795,1.2488044670512286,119,80,39,2015-02-28,2024-12-31
SLB,1.5629678516779477,0.3360381120112266,0.5796879436483275,0.20311145717864176,1.8330073554876543,1.636868353500197,119,80,39,2015-02-28,2024-12-31
BA,1.4422966447640542,0.32043526010266205,0.5660700134282526,0.1941810885097061,1.617096525695895,2.036531678272275,119,80,39,2015-02-28,2024-12-31
CAT,1.2351199890519406,0.41485289352413457,0.6440907494477269,0.1356131140257404,1.0467945222917951,0.765158133586318,119,80,39,2015-02-28,2024-12-31
GE,1.198362151440436,0.27013441056725385,0.5197445628068215,0.1821070011685854,1.5421031790889002,1.5462504536189816,119,80,39,2015-02-28,2024-12-31
MMM,0.9970802385741281,0.42442337902542177,0.6514778423134755,0.10734679967368484,0.9264224310285324,0.767448598284533,119,80,39,2015-02-28,2024-12-31
PLTR,2.814776117659778,0.16571756195013798,0.4070842197262601,0.9022317388079502,5.684920307074395,1.594441136749486,51,33,18,2020-10-31,2024-12-31
COIN,3.600106111329311,0.3826617145365618,0.6185965684810754,0.7055775525339151,6.935037179368377,3.357796930578677,44,28,16,2021-05-31,2024-12-31
HOOD,2.0754945036920116,0.2302282284008737,0.4798210378889963,0.6077024521570948,1.48435448364196,0.39333818156534567,41,25,16,2021-08-31,2024-12-31
