Symbol,Beta_10Y_Yahoo,Correlation,R_Squared,Positive_Beta,Negative_Beta,Alpha,Standard_Error,Volatility,Market_Volatility,Sharpe_Ratio,Months,Positive_Months,Negative_Months,Start_Date,End_Date,Avg_Monthly_Return,Market_Avg_Return
MMM,1.0010148446553468,0.633856607429717,0.40177419878231013,0.8519969607165229,0.7610399079828404,-0.004288274600827779,0.11244523656351896,0.06864164096081353,0.043464847599548086,0.09524670579789295,120,82,38,2015-11,2025-10,0.006537890182079204,0.010815189046106975
AOS,1.2139946522297167,0.6939343923912185,0.4815449409433695,1.31913054656986,1.113455728468072,-0.003739729441660577,0.11596125743673981,0.07603902202340063,0.043464847599548086,0.12348728288847564,120,82,38,2015-11,2025-10,0.009389852223166703,0.010815189046106975
ABT,0.7822062248543789,0.5930546347369607,0.35171379978299006,0.7380527015780161,0.4830490034650173,0.0038979684312793975,0.09776174577983762,0.05732772726713932,0.043464847599548086,0.2155619490815691,120,82,38,2015-11,2025-10,0.012357676626121165,0.010815189046106975
ABBV,0.6067401162441308,0.3627610405174748,0.131595572517321,0.179126867179762,0.3614912403220946,0.010856560003066111,0.1434835397962119,0.07269762664552963,0.043464847599548086,0.239602994841021,120,82,38,2015-11,2025-10,0.017418569062103307,0.010815189046106975
ACN,1.1706130247295727,0.7606402475960472,0.578573586262976,1.0457179391824365,0.9966492643191959,-0.001908990489380591,0.0919716383827224,0.06689169667095762,0.043464847599548086,0.1607286286337057,120,82,38,2015-11,2025-10,0.010751410672904837,0.010815189046106975
ADBE,1.2447678861585354,0.6327191742976961,0.40033355352395844,1.049222175104501,1.389959135381045,0.0016806801054397337,0.14024624771659716,0.08550973112004415,0.043464847599548086,0.1770918925181558,120,82,38,2015-11,2025-10,0.01514308011276726,0.010815189046106975
AMD,2.0486750963543763,0.538271446446671,0.2897361500597914,1.238307024872666,1.8656956520272663,0.03092505769809999,0.2952844638902013,0.1654283381216926,0.043464847599548086,0.32087529114978985,120,82,38,2015-11,2025-10,0.053081866159223993,0.010815189046106975
AES,0.930379795668335,0.42814306135566943,0.18330648098700447,0.7186179272259454,0.8155752803408405,-7.252890677897361e-05,0.18078396676370134,0.09445164403780751,0.043464847599548086,0.10576527883467784,120,82,38,2015-11,2025-10,0.009989704468052448,0.010815189046106975
AFL,0.8353422532696344,0.588119886223413,0.3458850005714403,0.7853052660310974,0.8938089535191467,0.005353592905618218,0.10575103711215562,0.06173575249253717,0.043464847599548086,0.23305745393918306,120,82,38,2015-11,2025-10,0.014387977292930287,0.010815189046106975
A,1.1484209225784914,0.6894044425019218,0.47527848534138556,0.9764062849061254,0.5851861735284493,0.0018844263566533022,0.1110837290752309,0.07240443679018993,0.043464847599548086,0.19756822058151038,120,82,38,2015-11,2025-10,0.014304815738844269,0.010815189046106975
APD,0.8288644600197578,0.5625907074289571,0.3165083040854144,0.837520136963675,0.3840614445272777,0.0012362433373878795,0.11212864693813746,0.06403672680638765,0.043464847599548086,0.15929248221792985,120,82,38,2015-11,2025-10,0.010200569166100936,0.010815189046106975
AKAM,0.5957073201341131,0.3287139349818187,0.10805285105123139,0.5578832371929375,0.993453990111148,-0.0013862408949996616,0.15755905911611573,0.07876857391213589,0.043464847599548086,0.0641937023519159,120,82,38,2015-11,2025-10,0.005056446388400539,0.010815189046106975
ALB,1.5022347350237362,0.5213045502331006,0.27175843409373546,1.2710583179401316,1.5855725971275296,-0.002845100617771691,0.22638258361564909,0.12525193533675827,0.043464847599548086,0.1069991613072132,120,82,38,2015-11,2025-10,0.013401852033138435,0.010815189046106975
ARE,1.0598721337706718,0.657046584090192,0.4317102136645898,1.0301181608135117,0.5372295188918931,-0.007583257135263878,0.11194410634838127,0.07011250326053976,0.043464847599548086,0.05533193333221251,120,82,38,2015-11,2025-10,0.0038794603561667185,0.010815189046106975
ALGN,1.7542296960066022,0.5461905793864172,0.29832414901047005,1.3445304174623076,2.0098495119655775,-0.0027152785693266845,0.24766778193511796,0.1395983916038679,0.043464847599548086,0.11645583474494021,120,82,38,2015-11,2025-10,0.01625704722327949,0.010815189046106975
