Symbol,Beta_5Y_Yahoo,Correlation,R_Squared,Positive_Beta,Negative_Beta,Standard_Error,Months,Positive_Months,Negative_Months,Start_Date,End_Date
MMM,1.056434014713911,0.6048892285946749,0.36589097886986094,0.7840170075834721,0.8173108373228951,0.18261417857665713,60,40,20,2020-11,2025-10
AOS,1.3155951582150753,0.714021153098779,0.50982620707251,1.47553913902688,1.323176625833152,0.16938394194003062,60,40,20,2020-11,2025-10
ABT,0.6935269391545771,0.552808236339271,0.3055969461645353,0.500602595990746,0.844414600950129,0.13727158384186774,60,40,20,2020-11,2025-10
ABBV,0.5048592195492879,0.3340074454060539,0.11156097358667806,0.3678348358158385,0.3567701435963339,0.18707422758671366,60,40,20,2020-11,2025-10
ACN,1.2832638513526977,0.7571761612348814,0.5733157391423913,1.0322288922166636,0.9635067702135508,0.14536449479124194,60,40,20,2020-11,2025-10
ADBE,1.4804371740810498,0.6593939866516195,0.4348004296323162,1.1740611636984606,1.7476260131733017,0.22163171866771803,60,40,20,2020-11,2025-10
AMD,1.8721917328592987,0.5365086508691302,0.2878415324574144,0.685308152334847,2.7936124117669734,0.38667662427653865,60,40,20,2020-11,2025-10
AES,0.9685809410943148,0.38622756594855784,0.14917173269854764,0.8872327738177698,0.1814540433564819,0.30373833662509875,60,40,20,2020-11,2025-10
AFL,0.8410984903194318,0.5484835116294523,0.30083416252937556,1.1118608461973074,0.639409106343476,0.1683679329426604,60,40,20,2020-11,2025-10
A,1.2784858994099446,0.7136241550632568,0.5092594346897474,1.2742212556451844,0.1653123874063118,0.16479285707838817,60,40,20,2020-11,2025-10
APD,0.8177644971888867,0.4996336153208293,0.24963374955856246,0.6352464597028465,0.06052331470009607,0.18616552155006286,60,40,20,2020-11,2025-10
ABNB,1.1092533669998423,0.4359647495701515,0.19006526286776504,2.308541105179254,2.417573520675711,0.3059922166304316,58,38,20,2021-01,2025-10
AKAM,0.7197567492594177,0.43721259751989483,0.19115485543009364,0.4320232862902909,1.066346662694786,0.19440694415598378,60,40,20,2020-11,2025-10
ALB,1.6874258649809275,0.5111250355167152,0.2612488019319635,1.7445785643168887,0.685938227366054,0.37259124885825995,60,40,20,2020-11,2025-10
ARE,1.3153400043798442,0.7092199327163575,0.5029929129621948,1.5117997213744252,0.39357356115303493,0.17168185210802542,60,40,20,2020-11,2025-10
ALGN,1.8278804990431265,0.5851022462967038,0.34234463862144865,1.8778312136657582,1.7463416783763515,0.33266048763627937,60,40,20,2020-11,2025-10
ALLE,1.0817306446034816,0.6457964953351563,0.41705311338717077,1.1213370100710605,0.23556792282313777,0.16792832111877437,60,40,20,2020-11,2025-10
LNT,0.569663105429372,0.46585577046456267,0.2170215988751313,-0.15791777127432738,0.7653361077426276,0.14207822011862933,60,40,20,2020-11,2025-10
ALL,0.36418814724566323,0.25531241573304403,0.06518442962744274,0.17698686856380536,-0.00014919409070794743,0.18109349245302872,60,40,20,2020-11,2025-10
GOOGL,1.0404865717382186,0.6055353554475823,0.3666730666970298,0.2423094991085472,1.4945418321780617,0.17955477384630988,60,40,20,2020-11,2025-10
GOOG,1.0433801632889697,0.606125330848498,0.36738791669620097,0.2802175570754423,1.5221293438329564,0.1797773134702582,60,40,20,2020-11,2025-10
MO,0.5300009770792561,0.37617634337049854,0.14150864131159918,0.5431110492547628,0.6776725171641528,0.1714111848527014,60,40,20,2020-11,2025-10
