Symbol,Beta_Monthly_10Y,Correlation,R_Squared,Positive_Beta,Negative_Beta,Months,Positive_Months,Negative_Months
PLTR,2.871071640012974,0.4070842197262601,0.16571756195013798,5.862574066670469,1.688231791852397,51,33,18
NVDA,1.772229530225062,0.576940304142003,0.332860114543467,1.2879108392633678,2.423916823241771,119,80,39
TSLA,1.8276662140412627,0.4452895653707241,0.19828279702804838,2.6736487996657976,1.861038484780929,119,80,39
AAPL,1.2442207717996876,0.6839558779310908,0.4677956429564892,1.3815475438164369,1.3384712546740951,119,80,39
MSFT,0.9817658797030424,0.6971225999593386,0.485979919374068,0.869107612676743,0.9023606184140371,119,80,39
GOOGL,1.0077266202242232,0.6396679629563238,0.4091751028326928,0.7924033412002534,1.3381852042009832,119,80,39
AMZN,1.286757107749421,0.638340242638016,0.40747826537116116,1.2030393942988007,1.4574498278793226,119,80,39
META,1.1599940596286344,0.5218968500354007,0.27237632207687346,1.0003041139007942,1.2491306482387636,119,80,39
COIN,3.683829509267201,0.6185965684810754,0.3826617145365618,7.191890408233873,3.5816500592839215,44,28,16
KO,0.5562751815216015,0.5375123549025635,0.2889195316728994,0.4932078366611922,0.48922140085213306,119,80,39
JNJ,0.5716397722180562,0.5524728968805482,0.30522630178758486,0.480266786096695,0.27345066416693653,119,80,39
PG,0.43047496381073364,0.40792760011393076,0.166404926934711,0.4844803183444507,0.2584076890087408,119,80,39
V,0.9516293649990264,0.7220440912069294,0.5213476696468405,0.9871173468357224,0.8985953476797562,119,80,39
JPM,1.145779558967472,0.7166078958687769,0.5135268764214759,0.9276923637833164,1.3952841800560745,119,80,39
