Method,Beta_CovVar,Beta_Regression,Beta_CorrVol,R_Squared,Correlation,Months,Start_Date,End_Date,Benchmark
End of Month,2.1094533538684814,2.109453353868481,2.109453353868482,0.43464502933685295,0.6592761404274031,60,2020-11-30,2025-10-31,^GSPC
Business Month End,2.1094533538684814,2.109453353868481,2.109453353868482,0.43464502933685295,0.6592761404274031,60,2020-11-30,2025-10-31,^GSPC
Calendar Month End,2.1094533538684814,2.109453353868481,2.109453353868482,0.43464502933685295,0.6592761404274031,60,2020-11-30,2025-10-31,^GSPC
End of Month,2.102464656104322,2.1024646561043214,2.102464656104322,0.4342509835314655,0.6589772253511235,60,2020-11-30,2025-10-31,SPY
Business Month End,2.102464656104322,2.1024646561043214,2.102464656104322,0.4342509835314655,0.6589772253511235,60,2020-11-30,2025-10-31,SPY
Calendar Month End,2.102464656104322,2.1024646561043214,2.102464656104322,0.4342509835314655,0.6589772253511235,60,2020-11-30,2025-10-31,SPY
End of Month,2.1094533538684814,2.109453353868481,2.109453353868482,0.43464502933685295,0.6592761404274031,60,2020-11-30,2025-10-31,^SPX
Business Month End,2.1094533538684814,2.109453353868481,2.109453353868482,0.43464502933685295,0.6592761404274031,60,2020-11-30,2025-10-31,^SPX
Calendar Month End,2.1094533538684814,2.109453353868481,2.109453353868482,0.43464502933685295,0.6592761404274031,60,2020-11-30,2025-10-31,^SPX
End of Month,2.1032447594287182,2.103244759428718,2.1032447594287182,0.4346468262150355,0.6592775031919681,60,2020-11-30,2025-10-31,VOO
Business Month End,2.1032447594287182,2.103244759428718,2.1032447594287182,0.4346468262150355,0.6592775031919681,60,2020-11-30,2025-10-31,VOO
Calendar Month End,2.1032447594287182,2.103244759428718,2.1032447594287182,0.4346468262150355,0.6592775031919681,60,2020-11-30,2025-10-31,VOO
