,traditional_beta,positive_beta,negative_beta,beta_ratio,data_points,positive_days,negative_days,sector
AFL,0.36971749190471587,0.3242439070770178,0.5411986017508275,0.5991218492214481,1195,652,541,Financials
LHX,0.6251826439852263,0.5684113298573672,0.8518952111017501,0.6672315121037536,1195,652,541,Industrials
KHC,0.6251826439852263,0.5684113298573672,0.8518952111017501,0.6672315121037536,1195,652,541,Consumer Staples
CL,0.31698363009151914,0.2380921204201174,0.3414815221282181,0.6972328076091905,1195,652,541,Consumer Staples
CMCSA,0.31698363009151914,0.2380921204201174,0.3414815221282181,0.6972328076091905,1195,652,541,Communication Services
COIN,0.31698363009151914,0.2380921204201174,0.3414815221282181,0.6972328076091905,1195,652,541,Financials
TPL,0.9795622083367267,0.8874391562160326,1.2686635168660285,0.6995071147062446,1195,652,541,Energy
TMO,0.9795622083367267,0.8874391562160326,1.2686635168660285,0.6995071147062446,1195,652,541,Health Care
TXT,0.9795622083367267,0.8874391562160326,1.2686635168660285,0.6995071147062446,1195,652,541,Industrials
DDOG,0.6935233269725003,0.5858543533223999,0.8163278389925231,0.7176704325622856,1195,652,541,Information Technology
DVA,0.6935233269725003,0.5858543533223999,0.8163278389925231,0.7176704325622856,1195,652,541,Health Care
CBOE,1.3088086397801244,1.0777932974586262,1.4485753209033978,0.7440367662666412,1195,652,541,Financials
CBRE,1.3088086397801244,1.0777932974586262,1.4485753209033978,0.7440367662666412,1195,652,541,Real Estate
D,0.9535575412250684,0.9446951605939059,1.2570035574185652,0.7515453357458838,1195,652,541,Utilities
DPZ,0.9535575412250684,0.9446951605939059,1.2570035574185652,0.7515453357458838,1195,652,541,Consumer Discretionary
DLTR,0.9535575412250684,0.9446951605939059,1.2570035574185652,0.7515453357458838,1195,652,541,Consumer Staples
SWKS,1.0156989473043494,0.8908482556214887,1.1724316399746568,0.7598295928287514,1195,652,541,Information Technology
SHW,1.0156989473043494,0.8908482556214887,1.1724316399746568,0.7598295928287514,1195,652,541,Materials
OKE,0.8721603476419502,0.8703575265708129,1.1273334277431173,0.7720497815036308,1195,652,541,Energy
OMC,0.8721603476419502,0.8703575265708129,1.1273334277431173,0.7720497815036308,1195,652,541,Communication Services
PSKY,0.9411794147312864,0.892279871511945,1.147150124837878,0.7778231045723395,1195,652,541,Communication Services
GEN,0.7612468779224696,0.5985443021196167,0.7655227041002832,0.7818766170013001,1195,652,541,Information Technology
GD,0.7612468779224696,0.5985443021196167,0.7655227041002832,0.7818766170013001,1195,652,541,Industrials
POOL,0.34583726936694686,0.3152238665861924,0.40180393023291855,0.7845216108350727,1195,652,541,Consumer Discretionary
PM,0.34583726936694686,0.3152238665861924,0.40180393023291855,0.7845216108350727,1195,652,541,Consumer Staples
PNC,0.34583726936694686,0.3152238665861924,0.40180393023291855,0.7845216108350727,1195,652,541,Financials
EXE,0.7195895646578454,0.6633339592606218,0.8406568337754441,0.7890662784260566,1169,635,532,Energy
RMD,0.6186726248934112,0.477144786950864,0.5972255923276826,0.7989356000153903,1195,652,541,Health Care
RSG,0.6186726248934112,0.477144786950864,0.5972255923276826,0.7989356000153903,1195,652,541,Industrials
RVTY,0.6186726248934112,0.477144786950864,0.5972255923276826,0.7989356000153903,1195,652,541,Health Care
AMZN,1.4630935770145168,1.32762080241319,1.6588133793238897,0.8003436787773622,1195,652,541,Consumer Discretionary
MO,1.4630935770145168,1.32762080241319,1.6588133793238897,0.8003436787773622,1195,652,541,Consumer Staples
GOOG,1.4630935770145168,1.32762080241319,1.6588133793238897,0.8003436787773622,1195,652,541,Communication Services
AIZ,1.5186129411681673,1.272627730825813,1.5851989437887053,0.8028189368989664,1195,652,541,Financials
ADM,1.5186129411681673,1.272627730825813,1.5851989437887053,0.8028189368989664,1195,652,541,Consumer Staples
DHI,1.073012147464657,1.1068844636648785,1.3677059468226274,0.8093000299050583,1195,652,541,Consumer Discretionary
DTE,1.073012147464657,1.1068844636648785,1.3677059468226274,0.8093000299050583,1195,652,541,Utilities
DUK,1.073012147464657,1.1068844636648785,1.3677059468226274,0.8093000299050583,1195,652,541,Utilities
DAY,1.5963317075813575,1.3941103018086216,1.7190048302107075,0.8109984784846347,1195,652,541,Industrials
ATO,0.5389367287368395,0.6253144497106194,0.7616522481971566,0.8209973136569203,1195,652,541,Utilities
ADP,0.5389367287368395,0.6253144497106194,0.7616522481971566,0.8209973136569203,1195,652,541,Industrials
IFF,0.6866612596086382,0.607740427819518,0.7384479241577104,0.822997002141647,1195,652,541,Materials
IBKR,0.6866612596086382,0.607740427819518,0.7384479241577104,0.822997002141647,1195,652,541,Financials
ICE,0.6866612596086382,0.607740427819518,0.7384479241577104,0.822997002141647,1195,652,541,Financials
O,0.6174503256089221,0.6056874923555725,0.7337025644304219,0.825521841845778,1195,652,541,Real Estate
V,0.26156615888214546,0.23175682557118313,0.2806362560689992,0.825826387571967,1195,652,541,Financials
VICI,0.26156615888214546,0.23175682557118313,0.2806362560689992,0.825826387571967,1195,652,541,Real Estate
VST,0.26156615888214546,0.23175682557118313,0.2806362560689992,0.825826387571967,1195,652,541,Utilities
NVDA,0.45500030469100106,0.4532962309778213,0.5482195318732037,0.8268516618314559,1195,652,541,Information Technology
NUE,0.45500030469100106,0.4532962309778213,0.5482195318732037,0.8268516618314559,1195,652,541,Materials
VZ,0.7976246718323108,0.7261244733543077,0.876288499292546,0.8286363154834621,1195,652,541,Communication Services
VRSK,0.7976246718323108,0.7261244733543077,0.876288499292546,0.8286363154834621,1195,652,541,Industrials
